"country","dose_per_1000"
"Albania",1000
"Algeria",1000
"Argentina",1000
"Armenia",1000
"Australia",1000
"Austria",1000
"Azerbaijan",1000
"Bahamas",1000
"Bangladesh",1000
"Belarus",1000
"Belgium",1000
"Benin",1000
"Bolivia",1000
"Botswana",1000
"Brazil",1000
"Bulgaria",1000
"Burkina_Faso",1000
"Cambodia",1000
"Cameroon",1000
"Canada",1000
"Cape_Verde",1000
"Chile",1000
"China",1000
"Colombia",1000
"Costa_Rica",1000
"Croatia",1000
"Denmark",1000
"Dominican_Republic",1000
"Ecuador",1000
"Egypt",1000
"Estonia",1000
"Ethiopia",1000
"Fiji",1000
"Finland",1000
"France",1000
"Georgia",1000
"Germany",1000
"Ghana",1000
"Greece",1000
"Guatemala",1000
"Guinea",1000
"Guyana",1000
"Haiti",1000
"Honduras",1000
"Hungary",1000
"Iceland",1000
"India",1000
"Indonesia",1000
"Iran",1000
"Iraq",1000
"Ireland",1000
"Israel",1000
"Italy",1000
"Jamaica",1000
"Japan",1000
"Jordan",1000
"Kazakhstan",1000
"Kenya",1000
"Kyrgyzstan",1000
"Latvia",1000
"Lebanon",1000
"Lesotho",1000
"Liberia",1000
"Lithuania",1000
"Malaysia",1000
"Maldives",1000
"Malta",1000
"Mauritania",1000
"Mexico",1000
"Mongolia",1000
"Montenegro",1000
"Morocco",1000
"Mozambique",1000
"Namibia",1000
"Nepal",1000
"Netherlands",1000
"New_Zealand",1000
"Nicaragua",1000
"Niger",1000
"Nigeria",1000
"Oman",1000
"Pakistan",1000
"Panama",1000
"Paraguay",1000
"Peru",1000
"Philippines",1000
"Poland",1000
"Portugal",1000
"Qatar",1000
"Republic_of_Congo",1000
"Republic_of_Korea",1000
"Romania",1000
"Russia",1000
"Rwanda",1000
"Sao_Tome_and_Principe",1000
"Saudi_Arabia",1000
"Senegal",1000
"Serbia",1000
"Sierra_Leone",1000
"Singapore",1000
"Slovakia",1000
"Slovenia",1000
"Solomon_Islands",1000
"South_Africa",1000
"Spain",1000
"Sri_Lanka",1000
"Suriname",1000
"Sweden",1000
"Switzerland",1000
"Syrian_Arab_Republic",1000
"Tajikistan",1000
"Tanzania",1000
"Thailand",1000
"Tunisia",1000
"Turkey",1000
"Uganda",1000
"Ukraine",1000
"United_Arab_Emirates",1000
"United_Kingdom",1000
"Uruguay",1000
"USA",1000
"Uzbekistan",1000
"Venezuela",1000
"Vietnam",1000
"Yemen",1000
"Zambia",1000
"Zimbabwe",1000
